MM #,weight,sigmax,sigmay,mux,muy
1,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
303,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
103,0.0011432763066666666,5e-08,5e-08,0.0,0.0
104,0.0011432763066666666,5e-08,5e-08,-0.0,0.0
201,0.0011432763066666666,5e-08,5e-08,0.0,0.0
202,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
203,0.0011432763066666666,5e-08,5e-08,-0.0,0.0
204,0.0011432763066666666,5e-08,5e-08,0.0,0.0
2,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
302,0.0011432763066666666,5e-08,5e-08,0.0,0.0
304,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
101,0.0011432763066666666,5e-08,5e-08,-0.0,0.0
401,0.0011432763066666666,5e-08,5e-08,0.0,-0.0
402,0.0011432763066666666,5e-08,5e-08,0.0,0.0
403,0.0011432763066666666,5e-08,5e-08,0.0,0.0
404,0.0011432763066666666,5e-08,5e-08,0.0,0.0
501,0.0011432763066666666,5e-08,5e-08,0.0,0.0
502,0.0011432763066666666,5e-08,5e-08,0.0,0.0
503,0.0011432763066666666,5e-08,5e-08,0.0,0.0
504,0.0011432763066666666,5e-08,5e-08,-0.0,0.0
