idx,A_eff,MM_PSF,hew_best_run,hew_opt_raw
1,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
2,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
3,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
4,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
5,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
6,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
7,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
8,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
9,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
10,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
11,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
12,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
13,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
14,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
15,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
16,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
17,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
18,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
19,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
20,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
21,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
22,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
23,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
24,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
25,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
26,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
27,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
28,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
29,1 keV,"Fixed Sym Gaussian (sigma_rad=0.05 micron, sigma_azi=0.05 micron)",2.8759635660503453,2.875963566050345
30,1 keV,"10% Variable Pseudo-Voigt 4.3"" (alpha 10%)",2.494615624962838,2.494615624962838
